id_cliente,cpf,nome,cidade,estado,renda,segmento,data_atualizacao,operacao
1,754.214.125-94,Cliente_1,BELO HORIZONTE,RJ,6017.79,VIP,2026-07-12 15:18:49,I
2,204.792.858-69,Cliente_2,SAO PAULO,BA,9594.59,PF,2026-07-12 15:18:49,I
3,195.323.338-64,Cliente_3,SALVADOR,SP,12102.41,VIP,2026-07-12 15:18:49,I
4,765.818.658-53,Cliente_4,RIO DE JANEIRO,RS,12606.78,PF,2026-07-12 15:18:49,I
5,877.925.263-89,Cliente_5,PORTO ALEGRE,MG,7001.68,PF,2026-07-12 15:18:49,I
6,881.444.204-11,Cliente_6,PORTO ALEGRE,SP,8461.63,PJ,2026-07-12 15:18:49,I
7,718.370.926-05,Cliente_7,PORTO ALEGRE,BA,4246.87,PJ,2026-07-12 15:18:49,I
8,180.665.400-80,Cliente_8,SALVADOR,MG,12392.34,VIP,2026-07-12 15:18:49,I
9,171.146.777-29,Cliente_9,BELO HORIZONTE,SP,17395.72,PF,2026-07-12 15:18:49,I
10,489.384.564-81,Cliente_10,BELO HORIZONTE,RJ,8663.26,PF,2026-07-12 15:18:49,I
11,786.373.818-87,Cliente_11,SAO PAULO,BA,13429.61,VIP,2026-07-12 15:18:49,I
12,846.350.267-59,Cliente_12,PORTO ALEGRE,MG,19811.42,VIP,2026-07-12 15:18:49,I
13,804.670.324-87,Cliente_13,BELO HORIZONTE,SP,6122.87,PF,2026-07-12 15:18:49,I
14,924.423.510-34,Cliente_14,SAO PAULO,RJ,18436.45,VIP,2026-07-12 15:18:49,I
15,997.835.422-27,Cliente_15,PORTO ALEGRE,RS,17924.3,VIP,2026-07-12 15:18:49,I
16,569.246.371-17,Cliente_16,RIO DE JANEIRO,BA,11701.59,VIP,2026-07-12 15:18:49,I
17,698.538.697-51,Cliente_17,BELO HORIZONTE,RJ,19951.86,PF,2026-07-12 15:18:49,I
18,621.605.193-96,Cliente_18,SAO PAULO,SP,4751.14,PF,2026-07-12 15:18:49,I
19,911.796.532-76,Cliente_19,SAO PAULO,RS,8869.15,PJ,2026-07-12 15:18:49,I
20,641.357.666-01,Cliente_20,SAO PAULO,BA,15515.8,VIP,2026-07-12 15:18:49,I
21,448.214.400-55,Cliente_21,RIO DE JANEIRO,RS,2058.42,VIP,2026-07-12 15:18:49,I
22,996.836.369-64,Cliente_22,RIO DE JANEIRO,BA,18427.3,VIP,2026-07-12 15:18:49,I
23,405.961.754-64,Cliente_23,SALVADOR,RJ,4751.11,PF,2026-07-12 15:18:49,I
24,652.897.643-00,Cliente_24,SALVADOR,MG,10794.9,PF,2026-07-12 15:18:49,I
25,471.999.951-39,Cliente_25,RIO DE JANEIRO,SP,6335.69,VIP,2026-07-12 15:18:49,I
26,180.187.849-62,Cliente_26,SAO PAULO,BA,15785.02,PF,2026-07-12 15:18:49,I
27,775.586.662-21,Cliente_27,BELO HORIZONTE,BA,17703.79,PJ,2026-07-12 15:18:49,I
28,316.652.873-93,Cliente_28,RIO DE JANEIRO,MG,9181.86,VIP,2026-07-12 15:18:49,I
29,765.482.548-66,Cliente_29,PORTO ALEGRE,SP,6462.3,PF,2026-07-12 15:18:49,I
30,446.121.702-70,Cliente_30,RIO DE JANEIRO,BA,5963.91,PF,2026-07-12 15:18:49,I
31,824.746.160-29,Cliente_31,SAO PAULO,SP,17473.44,PF,2026-07-12 15:18:49,I
32,626.343.385-85,Cliente_32,PORTO ALEGRE,RJ,11706.21,VIP,2026-07-12 15:18:49,I
33,684.690.584-31,Cliente_33,PORTO ALEGRE,RS,5427.38,PF,2026-07-12 15:18:49,I
34,774.541.462-54,Cliente_34,PORTO ALEGRE,RS,17549.06,PF,2026-07-12 15:18:49,I
35,789.769.761-12,Cliente_35,SAO PAULO,RS,15107.84,PF,2026-07-12 15:18:49,I
36,354.296.294-68,Cliente_36,PORTO ALEGRE,RJ,9593.87,PJ,2026-07-12 15:18:49,I
37,573.355.995-09,Cliente_37,PORTO ALEGRE,BA,3762.36,VIP,2026-07-12 15:18:49,I
38,653.956.115-11,Cliente_38,RIO DE JANEIRO,RJ,9315.45,PJ,2026-07-12 15:18:49,I
39,318.985.510-07,Cliente_39,RIO DE JANEIRO,RS,2038.8,PJ,2026-07-12 15:18:49,I
40,371.902.903-58,Cliente_40,BELO HORIZONTE,RS,14538.65,VIP,2026-07-12 15:18:49,I
41,902.669.777-91,Cliente_41,PORTO ALEGRE,RJ,5418.16,PF,2026-07-12 15:18:49,I
42,159.693.853-69,Cliente_42,SAO PAULO,MG,3028.97,VIP,2026-07-12 15:18:49,I
43,588.614.973-67,Cliente_43,RIO DE JANEIRO,SP,19294.02,PF,2026-07-12 15:18:49,I
44,971.290.170-76,Cliente_44,SAO PAULO,RJ,9267.96,VIP,2026-07-12 15:18:49,I
45,352.692.708-05,Cliente_45,SALVADOR,SP,9546.05,VIP,2026-07-12 15:18:49,I
46,678.635.423-33,Cliente_46,RIO DE JANEIRO,MG,6296.35,PJ,2026-07-12 15:18:49,I
47,234.787.760-38,Cliente_47,PORTO ALEGRE,MG,18722.33,PF,2026-07-12 15:18:49,I
48,109.569.736-72,Cliente_48,SAO PAULO,SP,11677.42,VIP,2026-07-12 15:18:49,I
49,371.235.457-08,Cliente_49,RIO DE JANEIRO,MG,7129.77,PJ,2026-07-12 15:18:49,I
50,953.656.820-38,Cliente_50,SALVADOR,BA,2140.82,VIP,2026-07-12 15:18:49,I
51,406.779.206-17,Cliente_51,BELO HORIZONTE,SP,18014.83,VIP,2026-07-12 15:18:49,I
52,666.259.378-36,Cliente_52,SALVADOR,RJ,14917.02,PF,2026-07-12 15:18:49,I
53,803.749.973-33,Cliente_53,SALVADOR,RS,6520.18,PF,2026-07-12 15:18:49,I
54,194.749.533-35,Cliente_54,SAO PAULO,SP,8004.02,PF,2026-07-12 15:18:49,I
55,752.368.265-94,Cliente_55,PORTO ALEGRE,BA,14702.01,VIP,2026-07-12 15:18:49,I
56,109.214.177-88,Cliente_56,RIO DE JANEIRO,BA,2648.51,PJ,2026-07-12 15:18:49,I
57,696.665.251-55,Cliente_57,RIO DE JANEIRO,SP,7548.65,PF,2026-07-12 15:18:49,I
58,466.315.798-31,Cliente_58,SAO PAULO,MG,16042.09,PJ,2026-07-12 15:18:49,I
59,735.867.258-30,Cliente_59,RIO DE JANEIRO,RJ,17865.49,PF,2026-07-12 15:18:49,I
60,283.854.440-52,Cliente_60,RIO DE JANEIRO,MG,4865.56,VIP,2026-07-12 15:18:49,I
61,210.491.993-04,Cliente_61,PORTO ALEGRE,RJ,5592.31,PJ,2026-07-12 15:18:49,I
62,458.412.940-29,Cliente_62,RIO DE JANEIRO,SP,13880.6,PJ,2026-07-12 15:18:49,I
63,436.385.985-08,Cliente_63,BELO HORIZONTE,MG,13546.67,PJ,2026-07-12 15:18:49,I
64,795.963.649-42,Cliente_64,SAO PAULO,SP,17786.69,PJ,2026-07-12 15:18:49,I
65,282.694.371-04,Cliente_65,SAO PAULO,BA,9822.15,VIP,2026-07-12 15:18:49,I
66,905.421.546-77,Cliente_66,SALVADOR,SP,8933.52,VIP,2026-07-12 15:18:49,I
67,294.360.145-90,Cliente_67,PORTO ALEGRE,SP,11358.57,VIP,2026-07-12 15:18:49,I
68,803.836.859-94,Cliente_68,RIO DE JANEIRO,MG,9763.35,VIP,2026-07-12 15:18:49,I
69,438.738.421-84,Cliente_69,SAO PAULO,MG,11128.21,VIP,2026-07-12 15:18:49,I
70,518.434.512-89,Cliente_70,BELO HORIZONTE,BA,4291.18,PJ,2026-07-12 15:18:49,I
71,780.488.793-95,Cliente_71,RIO DE JANEIRO,BA,12243.89,PJ,2026-07-12 15:18:49,I
72,661.953.100-38,Cliente_72,BELO HORIZONTE,RJ,9737.99,VIP,2026-07-12 15:18:49,I
73,721.770.429-59,Cliente_73,PORTO ALEGRE,RS,14161.29,VIP,2026-07-12 15:18:49,I
74,584.912.915-94,Cliente_74,RIO DE JANEIRO,SP,7108.16,VIP,2026-07-12 15:18:49,I
75,748.734.443-11,Cliente_75,RIO DE JANEIRO,MG,6043.53,PF,2026-07-12 15:18:49,I
76,250.125.147-31,Cliente_76,PORTO ALEGRE,BA,17295.28,PF,2026-07-12 15:18:49,I
77,566.524.744-73,Cliente_77,RIO DE JANEIRO,RS,10898.79,PF,2026-07-12 15:18:49,I
78,251.771.804-00,Cliente_78,SAO PAULO,RS,5939.14,VIP,2026-07-12 15:18:49,I
79,630.575.151-71,Cliente_79,RIO DE JANEIRO,SP,10216.31,PJ,2026-07-12 15:18:49,I
80,783.643.672-76,Cliente_80,BELO HORIZONTE,RS,13027.74,VIP,2026-07-12 15:18:49,I
81,616.536.950-70,Cliente_81,PORTO ALEGRE,RJ,15385.8,PJ,2026-07-12 15:18:49,I
82,560.365.869-31,Cliente_82,BELO HORIZONTE,BA,10722.75,PF,2026-07-12 15:18:49,I
83,381.550.179-91,Cliente_83,BELO HORIZONTE,RJ,6890.87,PJ,2026-07-12 15:18:49,I
84,653.182.241-19,Cliente_84,RIO DE JANEIRO,RS,14491.1,VIP,2026-07-12 15:18:49,I
85,319.165.524-52,Cliente_85,BELO HORIZONTE,BA,10386.64,PF,2026-07-12 15:18:49,I
86,311.952.530-49,Cliente_86,SALVADOR,SP,17421.18,VIP,2026-07-12 15:18:49,I
87,489.588.106-45,Cliente_87,BELO HORIZONTE,RS,17362.06,PJ,2026-07-12 15:18:49,I
88,651.865.852-69,Cliente_88,SALVADOR,RJ,10788.13,PJ,2026-07-12 15:18:49,I
89,546.597.129-49,Cliente_89,BELO HORIZONTE,RS,15035.26,PJ,2026-07-12 15:18:49,I
90,230.737.646-03,Cliente_90,PORTO ALEGRE,BA,12159.06,PF,2026-07-12 15:18:49,I
91,185.758.538-17,Cliente_91,PORTO ALEGRE,RJ,2905.12,PJ,2026-07-12 15:18:49,I
92,435.316.565-41,Cliente_92,BELO HORIZONTE,RS,7008.62,PJ,2026-07-12 15:18:49,I
93,358.954.183-60,Cliente_93,SAO PAULO,BA,2937.54,PJ,2026-07-12 15:18:49,I
94,329.765.170-99,Cliente_94,SAO PAULO,SP,19093.01,PF,2026-07-12 15:18:49,I
95,959.120.736-19,Cliente_95,RIO DE JANEIRO,RJ,10524.1,PF,2026-07-12 15:18:49,I
96,677.323.576-89,Cliente_96,BELO HORIZONTE,MG,5020.2,VIP,2026-07-12 15:18:49,I
97,865.835.217-99,Cliente_97,RIO DE JANEIRO,MG,3945.78,PF,2026-07-12 15:18:49,I
98,419.689.793-48,Cliente_98,PORTO ALEGRE,RJ,3367.94,VIP,2026-07-12 15:18:49,I
99,950.742.348-13,Cliente_99,BELO HORIZONTE,BA,16499.5,VIP,2026-07-12 15:18:49,I
100,901.142.455-68,Cliente_100,PORTO ALEGRE,MG,3241.22,VIP,2026-07-12 15:18:49,I
